goal_id,team_id,owner_id,season,goal_type,description,target_value,priority,franchise_posture,patience_if_missed,reward_points,status,data_class
GOAL_BUF_1,BUF,OWN01,2026,DRAFT_CAPITAL,Accumulate additional premium draft capital,2,HIGH,rebuild,90,300,IN_PROGRESS,MODELED
GOAL_BUF_2,BUF,OWN01,2026,DEVELOPMENT,Give 500+ snaps to three players under 25,3,CRITICAL,rebuild,90,500,IN_PROGRESS,MODELED
GOAL_BUF_3,BUF,OWN01,2026,FINANCIAL,Carry cap space into next league year,25000000,MODERATE,rebuild,90,150,IN_PROGRESS,MODELED
GOAL_MIA_1,MIA,OWN02,2026,DRAFT_CAPITAL,Accumulate additional premium draft capital,2,HIGH,rebuild,48,300,IN_PROGRESS,MODELED
GOAL_MIA_2,MIA,OWN02,2026,DEVELOPMENT,Give 500+ snaps to three players under 25,3,CRITICAL,rebuild,48,500,IN_PROGRESS,MODELED
GOAL_MIA_3,MIA,OWN02,2026,FINANCIAL,Carry cap space into next league year,25000000,MODERATE,rebuild,48,150,IN_PROGRESS,MODELED
GOAL_NE_1,NE,OWN03,2026,DRAFT_CAPITAL,Accumulate additional premium draft capital,2,HIGH,rebuild,80,300,IN_PROGRESS,MODELED
GOAL_NE_2,NE,OWN03,2026,DEVELOPMENT,Give 500+ snaps to three players under 25,3,CRITICAL,rebuild,80,500,IN_PROGRESS,MODELED
GOAL_NE_3,NE,OWN03,2026,FINANCIAL,Carry cap space into next league year,25000000,MODERATE,rebuild,80,150,IN_PROGRESS,MODELED
GOAL_NYJ_1,NYJ,OWN04,2026,PLAYOFF_BERTH,Reach the postseason,1,CRITICAL,fringe,18,500,IN_PROGRESS,MODELED
GOAL_NYJ_2,NYJ,OWN04,2026,WIN_TOTAL,Post a winning record,9,HIGH,fringe,18,300,IN_PROGRESS,MODELED
GOAL_NYJ_3,NYJ,OWN04,2026,ROSTER,Extend a homegrown core player,1,MODERATE,fringe,18,150,IN_PROGRESS,MODELED
GOAL_BAL_1,BAL,OWN05,2026,DRAFT_CAPITAL,Accumulate additional premium draft capital,2,HIGH,rebuild,72,300,IN_PROGRESS,MODELED
GOAL_BAL_2,BAL,OWN05,2026,DEVELOPMENT,Give 500+ snaps to three players under 25,3,CRITICAL,rebuild,72,500,IN_PROGRESS,MODELED
GOAL_BAL_3,BAL,OWN05,2026,FINANCIAL,Carry cap space into next league year,25000000,MODERATE,rebuild,72,150,IN_PROGRESS,MODELED
GOAL_PIT_1,PIT,OWN06,2026,PLAYOFF_RUN,Win the conference championship,1,CRITICAL,contender,89,500,IN_PROGRESS,MODELED
GOAL_PIT_2,PIT,OWN06,2026,DIVISION_FINISH,Finish top-2 in the division,2,HIGH,contender,89,300,IN_PROGRESS,MODELED
GOAL_PIT_3,PIT,OWN06,2026,FINANCIAL,Stay under the cap without restructures,0,MODERATE,contender,89,150,IN_PROGRESS,MODELED
GOAL_CLE_1,CLE,OWN07,2026,PLAYOFF_BERTH,Reach the postseason,1,CRITICAL,fringe,27,500,IN_PROGRESS,MODELED
GOAL_CLE_2,CLE,OWN07,2026,WIN_TOTAL,Post a winning record,9,HIGH,fringe,27,300,IN_PROGRESS,MODELED
GOAL_CLE_3,CLE,OWN07,2026,ROSTER,Extend a homegrown core player,1,MODERATE,fringe,27,150,IN_PROGRESS,MODELED
GOAL_CIN_1,CIN,OWN08,2026,PLAYOFF_BERTH,Reach the postseason,1,CRITICAL,fringe,69,500,IN_PROGRESS,MODELED
GOAL_CIN_2,CIN,OWN08,2026,WIN_TOTAL,Post a winning record,9,HIGH,fringe,69,300,IN_PROGRESS,MODELED
GOAL_CIN_3,CIN,OWN08,2026,ROSTER,Extend a homegrown core player,1,MODERATE,fringe,69,150,IN_PROGRESS,MODELED
GOAL_HOU_1,HOU,OWN09,2026,DRAFT_CAPITAL,Accumulate additional premium draft capital,2,HIGH,rebuild,89,300,IN_PROGRESS,MODELED
GOAL_HOU_2,HOU,OWN09,2026,DEVELOPMENT,Give 500+ snaps to three players under 25,3,CRITICAL,rebuild,89,500,IN_PROGRESS,MODELED
GOAL_HOU_3,HOU,OWN09,2026,FINANCIAL,Carry cap space into next league year,25000000,MODERATE,rebuild,89,150,IN_PROGRESS,MODELED
GOAL_IND_1,IND,OWN10,2026,WIN_TOTAL,Win at least 8 games,8,HIGH,retool,42,300,IN_PROGRESS,MODELED
GOAL_IND_2,IND,OWN10,2026,DEVELOPMENT,Develop a starting-caliber young quarterback,1,CRITICAL,retool,42,500,IN_PROGRESS,MODELED
GOAL_IND_3,IND,OWN10,2026,BUSINESS,Improve home attendance year over year,3,MODERATE,retool,42,150,IN_PROGRESS,MODELED
GOAL_JAX_1,JAX,OWN11,2026,PLAYOFF_BERTH,Reach the postseason,1,CRITICAL,fringe,73,500,IN_PROGRESS,MODELED
GOAL_JAX_2,JAX,OWN11,2026,WIN_TOTAL,Post a winning record,9,HIGH,fringe,73,300,IN_PROGRESS,MODELED
GOAL_JAX_3,JAX,OWN11,2026,ROSTER,Extend a homegrown core player,1,MODERATE,fringe,73,150,IN_PROGRESS,MODELED
GOAL_TEN_1,TEN,OWN12,2026,PLAYOFF_BERTH,Reach the postseason,1,CRITICAL,fringe,18,500,IN_PROGRESS,MODELED
GOAL_TEN_2,TEN,OWN12,2026,WIN_TOTAL,Post a winning record,9,HIGH,fringe,18,300,IN_PROGRESS,MODELED
GOAL_TEN_3,TEN,OWN12,2026,ROSTER,Extend a homegrown core player,1,MODERATE,fringe,18,150,IN_PROGRESS,MODELED
GOAL_DEN_1,DEN,OWN13,2026,PLAYOFF_RUN,Win the conference championship,1,CRITICAL,contender,75,500,IN_PROGRESS,MODELED
GOAL_DEN_2,DEN,OWN13,2026,DIVISION_FINISH,Finish top-2 in the division,2,HIGH,contender,75,300,IN_PROGRESS,MODELED
GOAL_DEN_3,DEN,OWN13,2026,FINANCIAL,Stay under the cap without restructures,0,MODERATE,contender,75,150,IN_PROGRESS,MODELED
GOAL_KC_1,KC,OWN14,2026,PLAYOFF_RUN,Win the conference championship,1,CRITICAL,contender,82,500,IN_PROGRESS,MODELED
GOAL_KC_2,KC,OWN14,2026,DIVISION_FINISH,Finish top-2 in the division,2,HIGH,contender,82,300,IN_PROGRESS,MODELED
GOAL_KC_3,KC,OWN14,2026,FINANCIAL,Stay under the cap without restructures,0,MODERATE,contender,82,150,IN_PROGRESS,MODELED
GOAL_LV_1,LV,OWN15,2026,PLAYOFF_RUN,Win the conference championship,1,CRITICAL,contender,33,500,IN_PROGRESS,MODELED
GOAL_LV_2,LV,OWN15,2026,DIVISION_FINISH,Finish top-2 in the division,2,HIGH,contender,33,300,IN_PROGRESS,MODELED
GOAL_LV_3,LV,OWN15,2026,FINANCIAL,Stay under the cap without restructures,0,MODERATE,contender,33,150,IN_PROGRESS,MODELED
GOAL_LAC_1,LAC,OWN16,2026,DRAFT_CAPITAL,Accumulate additional premium draft capital,2,HIGH,rebuild,53,300,IN_PROGRESS,MODELED
GOAL_LAC_2,LAC,OWN16,2026,DEVELOPMENT,Give 500+ snaps to three players under 25,3,CRITICAL,rebuild,53,500,IN_PROGRESS,MODELED
GOAL_LAC_3,LAC,OWN16,2026,FINANCIAL,Carry cap space into next league year,25000000,MODERATE,rebuild,53,150,IN_PROGRESS,MODELED
GOAL_DAL_1,DAL,OWN17,2026,WIN_TOTAL,Win at least 8 games,8,HIGH,retool,90,300,IN_PROGRESS,MODELED
GOAL_DAL_2,DAL,OWN17,2026,DEVELOPMENT,Develop a starting-caliber young quarterback,1,CRITICAL,retool,90,500,IN_PROGRESS,MODELED
GOAL_DAL_3,DAL,OWN17,2026,BUSINESS,Improve home attendance year over year,3,MODERATE,retool,90,150,IN_PROGRESS,MODELED
GOAL_PHI_1,PHI,OWN18,2026,WIN_TOTAL,Win at least 8 games,8,HIGH,retool,41,300,IN_PROGRESS,MODELED
GOAL_PHI_2,PHI,OWN18,2026,DEVELOPMENT,Develop a starting-caliber young quarterback,1,CRITICAL,retool,41,500,IN_PROGRESS,MODELED
GOAL_PHI_3,PHI,OWN18,2026,BUSINESS,Improve home attendance year over year,3,MODERATE,retool,41,150,IN_PROGRESS,MODELED
GOAL_WAS_1,WAS,OWN19,2026,WIN_TOTAL,Win at least 8 games,8,HIGH,retool,61,300,IN_PROGRESS,MODELED
GOAL_WAS_2,WAS,OWN19,2026,DEVELOPMENT,Develop a starting-caliber young quarterback,1,CRITICAL,retool,61,500,IN_PROGRESS,MODELED
GOAL_WAS_3,WAS,OWN19,2026,BUSINESS,Improve home attendance year over year,3,MODERATE,retool,61,150,IN_PROGRESS,MODELED
GOAL_NYG_1,NYG,OWN20,2026,DRAFT_CAPITAL,Accumulate additional premium draft capital,2,HIGH,rebuild,8,300,IN_PROGRESS,MODELED
GOAL_NYG_2,NYG,OWN20,2026,DEVELOPMENT,Give 500+ snaps to three players under 25,3,CRITICAL,rebuild,8,500,IN_PROGRESS,MODELED
GOAL_NYG_3,NYG,OWN20,2026,FINANCIAL,Carry cap space into next league year,25000000,MODERATE,rebuild,8,150,IN_PROGRESS,MODELED
GOAL_CHI_1,CHI,OWN21,2026,WIN_TOTAL,Win at least 8 games,8,HIGH,retool,71,300,IN_PROGRESS,MODELED
GOAL_CHI_2,CHI,OWN21,2026,DEVELOPMENT,Develop a starting-caliber young quarterback,1,CRITICAL,retool,71,500,IN_PROGRESS,MODELED
GOAL_CHI_3,CHI,OWN21,2026,BUSINESS,Improve home attendance year over year,3,MODERATE,retool,71,150,IN_PROGRESS,MODELED
GOAL_DET_1,DET,OWN22,2026,PLAYOFF_RUN,Win the conference championship,1,CRITICAL,contender,78,500,IN_PROGRESS,MODELED
GOAL_DET_2,DET,OWN22,2026,DIVISION_FINISH,Finish top-2 in the division,2,HIGH,contender,78,300,IN_PROGRESS,MODELED
GOAL_DET_3,DET,OWN22,2026,FINANCIAL,Stay under the cap without restructures,0,MODERATE,contender,78,150,IN_PROGRESS,MODELED
GOAL_GB_1,GB,OWN23,2026,PLAYOFF_RUN,Win the conference championship,1,CRITICAL,contender,34,500,IN_PROGRESS,MODELED
GOAL_GB_2,GB,OWN23,2026,DIVISION_FINISH,Finish top-2 in the division,2,HIGH,contender,34,300,IN_PROGRESS,MODELED
GOAL_GB_3,GB,OWN23,2026,FINANCIAL,Stay under the cap without restructures,0,MODERATE,contender,34,150,IN_PROGRESS,MODELED
GOAL_MIN_1,MIN,OWN24,2026,PLAYOFF_BERTH,Reach the postseason,1,CRITICAL,fringe,51,500,IN_PROGRESS,MODELED
GOAL_MIN_2,MIN,OWN24,2026,WIN_TOTAL,Post a winning record,9,HIGH,fringe,51,300,IN_PROGRESS,MODELED
GOAL_MIN_3,MIN,OWN24,2026,ROSTER,Extend a homegrown core player,1,MODERATE,fringe,51,150,IN_PROGRESS,MODELED
GOAL_ATL_1,ATL,OWN25,2026,PLAYOFF_RUN,Win the conference championship,1,CRITICAL,contender,76,500,IN_PROGRESS,MODELED
GOAL_ATL_2,ATL,OWN25,2026,DIVISION_FINISH,Finish top-2 in the division,2,HIGH,contender,76,300,IN_PROGRESS,MODELED
GOAL_ATL_3,ATL,OWN25,2026,FINANCIAL,Stay under the cap without restructures,0,MODERATE,contender,76,150,IN_PROGRESS,MODELED
GOAL_CAR_1,CAR,OWN26,2026,PLAYOFF_RUN,Win the conference championship,1,CRITICAL,contender,48,500,IN_PROGRESS,MODELED
GOAL_CAR_2,CAR,OWN26,2026,DIVISION_FINISH,Finish top-2 in the division,2,HIGH,contender,48,300,IN_PROGRESS,MODELED
GOAL_CAR_3,CAR,OWN26,2026,FINANCIAL,Stay under the cap without restructures,0,MODERATE,contender,48,150,IN_PROGRESS,MODELED
GOAL_NO_1,NO,OWN27,2026,PLAYOFF_RUN,Win the conference championship,1,CRITICAL,contender,62,500,IN_PROGRESS,MODELED
GOAL_NO_2,NO,OWN27,2026,DIVISION_FINISH,Finish top-2 in the division,2,HIGH,contender,62,300,IN_PROGRESS,MODELED
GOAL_NO_3,NO,OWN27,2026,FINANCIAL,Stay under the cap without restructures,0,MODERATE,contender,62,150,IN_PROGRESS,MODELED
GOAL_TB_1,TB,OWN28,2026,WIN_TOTAL,Win at least 8 games,8,HIGH,retool,28,300,IN_PROGRESS,MODELED
GOAL_TB_2,TB,OWN28,2026,DEVELOPMENT,Develop a starting-caliber young quarterback,1,CRITICAL,retool,28,500,IN_PROGRESS,MODELED
GOAL_TB_3,TB,OWN28,2026,BUSINESS,Improve home attendance year over year,3,MODERATE,retool,28,150,IN_PROGRESS,MODELED
GOAL_ARI_1,ARI,OWN29,2026,DRAFT_CAPITAL,Accumulate additional premium draft capital,2,HIGH,rebuild,69,300,IN_PROGRESS,MODELED
GOAL_ARI_2,ARI,OWN29,2026,DEVELOPMENT,Give 500+ snaps to three players under 25,3,CRITICAL,rebuild,69,500,IN_PROGRESS,MODELED
GOAL_ARI_3,ARI,OWN29,2026,FINANCIAL,Carry cap space into next league year,25000000,MODERATE,rebuild,69,150,IN_PROGRESS,MODELED
GOAL_LAR_1,LAR,OWN30,2026,PLAYOFF_BERTH,Reach the postseason,1,CRITICAL,fringe,86,500,IN_PROGRESS,MODELED
GOAL_LAR_2,LAR,OWN30,2026,WIN_TOTAL,Post a winning record,9,HIGH,fringe,86,300,IN_PROGRESS,MODELED
GOAL_LAR_3,LAR,OWN30,2026,ROSTER,Extend a homegrown core player,1,MODERATE,fringe,86,150,IN_PROGRESS,MODELED
GOAL_SF_1,SF,OWN31,2026,PLAYOFF_RUN,Win the conference championship,1,CRITICAL,contender,37,500,IN_PROGRESS,MODELED
GOAL_SF_2,SF,OWN31,2026,DIVISION_FINISH,Finish top-2 in the division,2,HIGH,contender,37,300,IN_PROGRESS,MODELED
